name1,name2,negative_pairs
Adam_Sandler,Leonid_Kuchma,"['Adam_Sandler_0004.jpg', 'Leonid_Kuchma_0001.jpg']"
Gray_Davis,Paul_Gascoigne,"['Gray_Davis_0013.jpg', 'Paul_Gascoigne_0003.jpg']"
Pedro_Malan,Ai_Sugiyama,"['Pedro_Malan_0002.jpg', 'Ai_Sugiyama_0004.jpg']"
Donald_Rumsfeld,Jean_Chretien,"['Donald_Rumsfeld_0078.jpg', 'Jean_Chretien_0018.jpg']"
George_W_Bush,Colin_Powell,"['George_W_Bush_0278.jpg', 'Colin_Powell_0080.jpg']"
Joe_Lieberman,Meghann_Shaughnessy,"['Joe_Lieberman_0006.jpg', 'Meghann_Shaughnessy_0001.jpg']"
David_Dodge,Kiki_Vandeweghe,"['David_Dodge_0002.jpg', 'Kiki_Vandeweghe_0002.jpg']"
George_W_Bush,Junichiro_Koizumi,"['George_W_Bush_0325.jpg', 'Junichiro_Koizumi_0011.jpg']"
Kalpana_Chawla,Hugh_Grant,"['Kalpana_Chawla_0001.jpg', 'Hugh_Grant_0008.jpg']"
John_Ashcroft,Roy_Moore,"['John_Ashcroft_0025.jpg', 'Roy_Moore_0001.jpg']"
Len_Jenoff,Shimon_Peres,"['Len_Jenoff_0002.jpg', 'Shimon_Peres_0001.jpg']"
Cindy_Margolis,Denzel_Washington,"['Cindy_Margolis_0002.jpg', 'Denzel_Washington_0005.jpg']"
Fidel_Castro,David_Beckham,"['Fidel_Castro_0013.jpg', 'David_Beckham_0022.jpg']"
Vicente_Fox,Ian_McKellen,"['Vicente_Fox_0029.jpg', 'Ian_McKellen_0001.jpg']"
Pedro_Almodovar,Elizabeth_Taylor,"['Pedro_Almodovar_0004.jpg', 'Elizabeth_Taylor_0002.jpg']"
Colin_Powell,Bob_Hope,"['Colin_Powell_0201.jpg', 'Bob_Hope_0002.jpg']"
Michael_Capellas,Gerhard_Schroeder,"['Michael_Capellas_0001.jpg', 'Gerhard_Schroeder_0058.jpg']"
Tony_Blair,Jacques_Chirac,"['Tony_Blair_0120.jpg', 'Jacques_Chirac_0020.jpg']"
Marcus_Gronholm,Tom_Ridge,"['Marcus_Gronholm_0002.jpg', 'Tom_Ridge_0005.jpg']"
Tsutomu_Takebe,Donald_Rumsfeld,"['Tsutomu_Takebe_0001.jpg', 'Donald_Rumsfeld_0004.jpg']"
Madonna,Vicente_Fox,"['Madonna_0005.jpg', 'Vicente_Fox_0009.jpg']"
George_W_Bush,Martha_Stewart,"['George_W_Bush_0360.jpg', 'Martha_Stewart_0005.jpg']"
Geoff_Hoon,Pedro_Malan,"['Geoff_Hoon_0005.jpg', 'Pedro_Malan_0005.jpg']"
Eva_Dimas,John_Allen_Muhammad,"['Eva_Dimas_0002.jpg', 'John_Allen_Muhammad_0010.jpg']"
Kofi_Annan,Akbar_Hashemi_Rafsanjani,"['Kofi_Annan_0013.jpg', 'Akbar_Hashemi_Rafsanjani_0001.jpg']"
Gloria_Macapagal_Arroyo,Phil_Vassar,"['Gloria_Macapagal_Arroyo_0039.jpg', 'Phil_Vassar_0001.jpg']"
Omar_Sharif,Rick_Romley,"['Omar_Sharif_0002.jpg', 'Rick_Romley_0002.jpg']"
Jose_Maria_Aznar,John_Negroponte,"['Jose_Maria_Aznar_0016.jpg', 'John_Negroponte_0023.jpg']"
Adrien_Brody,Jiri_Novak,"['Adrien_Brody_0010.jpg', 'Jiri_Novak_0008.jpg']"
Jose_Serra,Nicole_Kidman,"['Jose_Serra_0002.jpg', 'Nicole_Kidman_0019.jpg']"
Wayne_Gretzky,Adolfo_Aguilar_Zinser,"['Wayne_Gretzky_0003.jpg', 'Adolfo_Aguilar_Zinser_0002.jpg']"
Carol_Burnett,George_W_Bush,"['Carol_Burnett_0001.jpg', 'George_W_Bush_0339.jpg']"
Prince_Edward,Tony_Stewart,"['Prince_Edward_0002.jpg', 'Tony_Stewart_0006.jpg']"
George_W_Bush,Ann_Veneman,"['George_W_Bush_0317.jpg', 'Ann_Veneman_0009.jpg']"
Jennifer_Lopez,Tony_Blair,"['Jennifer_Lopez_0011.jpg', 'Tony_Blair_0087.jpg']"
Amram_Mitzna,Ricardo_Lagos,"['Amram_Mitzna_0001.jpg', 'Ricardo_Lagos_0004.jpg']"
Billy_Crystal,Vince_Carter,"['Billy_Crystal_0004.jpg', 'Vince_Carter_0001.jpg']"
Naji_Sabri,Maggie_Smith,"['Naji_Sabri_0001.jpg', 'Maggie_Smith_0002.jpg']"
Conchita_Martinez,Jimmy_Carter,"['Conchita_Martinez_0003.jpg', 'Jimmy_Carter_0005.jpg']"
Patrice_Chereau,Rita_Wilson,"['Patrice_Chereau_0001.jpg', 'Rita_Wilson_0001.jpg']"
Tom_Daschle,Robert_Mueller,"['Tom_Daschle_0017.jpg', 'Robert_Mueller_0001.jpg']"
John_Bolton,Muhammad_Ali,"['John_Bolton_0005.jpg', 'Muhammad_Ali_0010.jpg']"
John_Negroponte,Dick_Cheney,"['John_Negroponte_0010.jpg', 'Dick_Cheney_0005.jpg']"
Fred_Thompson,Richard_Myers,"['Fred_Thompson_0003.jpg', 'Richard_Myers_0006.jpg']"
Abid_Hamid_Mahmud_Al-Tikriti,Billy_Sollie,"['Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg', 'Billy_Sollie_0001.jpg']"
Joan_Laporta,Edmund_Stoiber,"['Joan_Laporta_0002.jpg', 'Edmund_Stoiber_0011.jpg']"
Ilan_Ramon,Elizabeth_Shue,"['Ilan_Ramon_0003.jpg', 'Elizabeth_Shue_0001.jpg']"
Jean_Chretien,John_Timoney,"['Jean_Chretien_0039.jpg', 'John_Timoney_0001.jpg']"
Donald_Rumsfeld,George_Robertson,"['Donald_Rumsfeld_0080.jpg', 'George_Robertson_0015.jpg']"
Donald_Rumsfeld,Meryl_Streep,"['Donald_Rumsfeld_0026.jpg', 'Meryl_Streep_0006.jpg']"
George_W_Bush,Megawati_Sukarnoputri,"['George_W_Bush_0232.jpg', 'Megawati_Sukarnoputri_0022.jpg']"
Roberto_Marinho,Robbie_Fowler,"['Roberto_Marinho_0003.jpg', 'Robbie_Fowler_0001.jpg']"
George_W_Bush,Mahathir_Mohamad,"['George_W_Bush_0355.jpg', 'Mahathir_Mohamad_0006.jpg']"
John_Bolton,Gerhard_Schroeder,"['John_Bolton_0015.jpg', 'Gerhard_Schroeder_0070.jpg']"
Christopher_Walken,Condoleezza_Rice,"['Christopher_Walken_0004.jpg', 'Condoleezza_Rice_0001.jpg']"
Bob_Colvin,Alejandro_Toledo,"['Bob_Colvin_0001.jpg', 'Alejandro_Toledo_0008.jpg']"
Leonid_Kuchma,John_Bolton,"['Leonid_Kuchma_0001.jpg', 'John_Bolton_0011.jpg']"
Jeremy_Greenstock,Jiri_Novak,"['Jeremy_Greenstock_0023.jpg', 'Jiri_Novak_0006.jpg']"
Kofi_Annan,Tomoko_Hagiwara,"['Kofi_Annan_0011.jpg', 'Tomoko_Hagiwara_0001.jpg']"
Anders_Ebbeson,Jacques_Chirac,"['Anders_Ebbeson_0002.jpg', 'Jacques_Chirac_0043.jpg']"
Mohammad_Khatami,George_W_Bush,"['Mohammad_Khatami_0004.jpg', 'George_W_Bush_0135.jpg']"
Javier_Weber,Jay_Leno,"['Javier_Weber_0003.jpg', 'Jay_Leno_0002.jpg']"
Junichiro_Koizumi,Terry_Stotts,"['Junichiro_Koizumi_0015.jpg', 'Terry_Stotts_0002.jpg']"
Jim_Carrey,Luke_Walton,"['Jim_Carrey_0002.jpg', 'Luke_Walton_0002.jpg']"
Luiz_Inacio_Lula_da_Silva,Felipe_Perez_Roque,"['Luiz_Inacio_Lula_da_Silva_0042.jpg', 'Felipe_Perez_Roque_0004.jpg']"
Eddie_Sutton,John_Manley,"['Eddie_Sutton_0001.jpg', 'John_Manley_0004.jpg']"
Samuel_Waksal,Augustin_Calleri,"['Samuel_Waksal_0002.jpg', 'Augustin_Calleri_0002.jpg']"
Vladimir_Putin,Alec_Baldwin,"['Vladimir_Putin_0014.jpg', 'Alec_Baldwin_0004.jpg']"
Bridget_Fonda,John_Negroponte,"['Bridget_Fonda_0003.jpg', 'John_Negroponte_0012.jpg']"
John_Bolton,James_Wolfensohn,"['John_Bolton_0007.jpg', 'James_Wolfensohn_0004.jpg']"
Sergey_Lavrov,Jeong_Se-hyun,"['Sergey_Lavrov_0009.jpg', 'Jeong_Se-hyun_0008.jpg']"
Jorge_Valdano,Joan_Claybrook,"['Jorge_Valdano_0001.jpg', 'Joan_Claybrook_0002.jpg']"
Serena_Williams,Paul-Henri_Mathieu,"['Serena_Williams_0024.jpg', 'Paul-Henri_Mathieu_0002.jpg']"
Junichiro_Koizumi,Gerhard_Schroeder,"['Junichiro_Koizumi_0011.jpg', 'Gerhard_Schroeder_0058.jpg']"
Howard_Dean,Tiger_Woods,"['Howard_Dean_0005.jpg', 'Tiger_Woods_0023.jpg']"
Antonio_Trillanes,Kim_Clijsters,"['Antonio_Trillanes_0003.jpg', 'Kim_Clijsters_0004.jpg']"
Juan_Ignacio_Chela,Justin_Timberlake,"['Juan_Ignacio_Chela_0002.jpg', 'Justin_Timberlake_0006.jpg']"
Mike_Martz,Gao_Qiang,"['Mike_Martz_0005.jpg', 'Gao_Qiang_0002.jpg']"
Paul_Bremer,Andre_Agassi,"['Paul_Bremer_0010.jpg', 'Andre_Agassi_0031.jpg']"
Todd_Haynes,Elton_John,"['Todd_Haynes_0002.jpg', 'Elton_John_0005.jpg']"
Jeremy_Greenstock,Richard_Gere,"['Jeremy_Greenstock_0023.jpg', 'Richard_Gere_0008.jpg']"
Tony_Blair,Ana_Palacio,"['Tony_Blair_0051.jpg', 'Ana_Palacio_0004.jpg']"
Edmund_Stoiber,Muhammad_Saeed_al-Sahhaf,"['Edmund_Stoiber_0001.jpg', 'Muhammad_Saeed_al-Sahhaf_0003.jpg']"
Jennifer_Capriati,Hal_Gehman,"['Jennifer_Capriati_0035.jpg', 'Hal_Gehman_0004.jpg']"
Ciro_Gomes,Ariel_Sharon,"['Ciro_Gomes_0001.jpg', 'Ariel_Sharon_0015.jpg']"
John_Howard,Leslie_Caldwell,"['John_Howard_0015.jpg', 'Leslie_Caldwell_0002.jpg']"
Recep_Tayyip_Erdogan,Harry_Schmidt,"['Recep_Tayyip_Erdogan_0016.jpg', 'Harry_Schmidt_0002.jpg']"
John_Negroponte,George_W_Bush,"['John_Negroponte_0003.jpg', 'George_W_Bush_0036.jpg']"
Hugo_Chavez,George_W_Bush,"['Hugo_Chavez_0070.jpg', 'George_W_Bush_0390.jpg']"
Colin_Powell,Serena_Williams,"['Colin_Powell_0053.jpg', 'Serena_Williams_0051.jpg']"
Joe_Calzaghe,Bruce_Springsteen,"['Joe_Calzaghe_0001.jpg', 'Bruce_Springsteen_0004.jpg']"
Bruce_Springsteen,Tom_Ridge,"['Bruce_Springsteen_0001.jpg', 'Tom_Ridge_0027.jpg']"
Lindsay_Davenport,Tony_Blair,"['Lindsay_Davenport_0014.jpg', 'Tony_Blair_0106.jpg']"
Russell_Simmons,Nia_Vardalos,"['Russell_Simmons_0002.jpg', 'Nia_Vardalos_0004.jpg']"
Michael_Bloomberg,John_Negroponte,"['Michael_Bloomberg_0006.jpg', 'John_Negroponte_0020.jpg']"
Junichiro_Koizumi,Mike_Weir,"['Junichiro_Koizumi_0044.jpg', 'Mike_Weir_0007.jpg']"
Bob_Colvin,Jesse_Jackson,"['Bob_Colvin_0002.jpg', 'Jesse_Jackson_0004.jpg']"
Sarah_Michelle_Gellar,George_W_Bush,"['Sarah_Michelle_Gellar_0003.jpg', 'George_W_Bush_0437.jpg']"
Dick_Cheney,Colin_Farrell,"['Dick_Cheney_0006.jpg', 'Colin_Farrell_0003.jpg']"
Blythe_Danner,Kofi_Annan,"['Blythe_Danner_0001.jpg', 'Kofi_Annan_0030.jpg']"
Catherine_Deneuve,Rob_Marshall,"['Catherine_Deneuve_0001.jpg', 'Rob_Marshall_0002.jpg']"
Roh_Moo-hyun,Donald_Rumsfeld,"['Roh_Moo-hyun_0010.jpg', 'Donald_Rumsfeld_0028.jpg']"
Dominique_de_Villepin,Megawati_Sukarnoputri,"['Dominique_de_Villepin_0010.jpg', 'Megawati_Sukarnoputri_0006.jpg']"
Paul_Tagliabue,Carlo_Ancelotti,"['Paul_Tagliabue_0004.jpg', 'Carlo_Ancelotti_0002.jpg']"
Julianne_Moore,Jay_Leno,"['Julianne_Moore_0013.jpg', 'Jay_Leno_0001.jpg']"
Celine_Dion,Gloria_Macapagal_Arroyo,"['Celine_Dion_0002.jpg', 'Gloria_Macapagal_Arroyo_0018.jpg']"
Chen_Shui-bian,Steffi_Graf,"['Chen_Shui-bian_0002.jpg', 'Steffi_Graf_0002.jpg']"
John_Paul_II,Janet_Thorpe,"['John_Paul_II_0002.jpg', 'Janet_Thorpe_0001.jpg']"
Jean-David_Levitte,George_W_Bush,"['Jean-David_Levitte_0007.jpg', 'George_W_Bush_0265.jpg']"
Leonardo_DiCaprio,Nancy_Pelosi,"['Leonardo_DiCaprio_0006.jpg', 'Nancy_Pelosi_0010.jpg']"
Anna_Kournikova,Mahathir_Mohamad,"['Anna_Kournikova_0007.jpg', 'Mahathir_Mohamad_0008.jpg']"
Tom_Crean,Colin_Farrell,"['Tom_Crean_0003.jpg', 'Colin_Farrell_0007.jpg']"
Lance_Armstrong,Edmund_Stoiber,"['Lance_Armstrong_0015.jpg', 'Edmund_Stoiber_0011.jpg']"
Chung_Mong-hun,Lana_Clarkson,"['Chung_Mong-hun_0001.jpg', 'Lana_Clarkson_0001.jpg']"
Gloria_Macapagal_Arroyo,Brendan_Hansen,"['Gloria_Macapagal_Arroyo_0035.jpg', 'Brendan_Hansen_0002.jpg']"
George_Galloway,Jeong_Se-hyun,"['George_Galloway_0001.jpg', 'Jeong_Se-hyun_0006.jpg']"
Colin_Powell,Andrew_Cuomo,"['Colin_Powell_0018.jpg', 'Andrew_Cuomo_0002.jpg']"
Padraig_Harrington,Angelina_Jolie,"['Padraig_Harrington_0003.jpg', 'Angelina_Jolie_0015.jpg']"
George_W_Bush,Gerhard_Schroeder,"['George_W_Bush_0042.jpg', 'Gerhard_Schroeder_0042.jpg']"
Colin_Powell,Marlene_Weingartner,"['Colin_Powell_0017.jpg', 'Marlene_Weingartner_0001.jpg']"
Michael_Chang,Ari_Fleischer,"['Michael_Chang_0005.jpg', 'Ari_Fleischer_0009.jpg']"
Michael_Bloomberg,George_W_Bush,"['Michael_Bloomberg_0011.jpg', 'George_W_Bush_0393.jpg']"
